word,neg,neu,pos,compound,sentiment_cat
baleful,0.0,1.0,0.0,0.0,3
balky,0.0,1.0,0.0,0.0,3
bashful,1.0,0.0,0.0,-0.0258,2
bearish,0.0,1.0,0.0,0.0,3
beautiful,0.0,0.0,1.0,0.5994,5
bedraggled,0.0,1.0,0.0,0.0,3
believable,0.0,1.0,0.0,0.0,3
bellicose,0.0,1.0,0.0,0.0,3
belligerent,0.0,1.0,0.0,0.0,3
bendable,0.0,1.0,0.0,0.0,3
beneficent,0.0,0.0,1.0,0.5106,5
benevolent,0.0,0.0,1.0,0.5719,5
benign,0.0,0.0,1.0,0.3182,4
berating,0.0,1.0,0.0,0.0,3
bestial,0.0,1.0,0.0,0.0,3
bewildered,0.0,1.0,0.0,0.0,3
biased,1.0,0.0,0.0,-0.2732,2
big,0.0,1.0,0.0,0.0,3
big-headed,0.0,1.0,0.0,0.0,3
big-hearted,0.0,1.0,0.0,0.0,3
big-mouthed,0.0,1.0,0.0,0.0,3
bigoted,0.0,1.0,0.0,0.0,3
bilious,0.0,1.0,0.0,0.0,3
bitter,1.0,0.0,0.0,-0.4215,1
bizarre,1.0,0.0,0.0,-0.3182,2
blaming,1.0,0.0,0.0,-0.4939,1
bland,0.0,1.0,0.0,0.0,3
blase,0.0,1.0,0.0,0.0,3
blasé,0.0,1.0,0.0,0.0,3
blasphemous,0.0,1.0,0.0,0.0,3
bleak,0.0,1.0,0.0,0.0,3
blind,1.0,0.0,0.0,-0.4019,1
blithe,0.0,0.0,1.0,0.296,4
blunt,0.0,1.0,0.0,0.0,3
blunt-witted,0.0,1.0,0.0,0.0,3
blustery,0.0,1.0,0.0,0.0,3
boastful,0.0,1.0,0.0,0.0,3
boastless,0.0,1.0,0.0,0.0,3
boisterous,0.0,1.0,0.0,0.0,3
bold,0.0,0.0,1.0,0.3818,4
bombastic,0.0,1.0,0.0,0.0,3
bookish,0.0,1.0,0.0,0.0,3
boorish,0.0,1.0,0.0,0.0,3
boozy,0.0,1.0,0.0,0.0,3
bored,1.0,0.0,0.0,-0.2732,2
boring,1.0,0.0,0.0,-0.3182,2
bossy,0.0,1.0,0.0,0.0,3
bountiful,0.0,1.0,0.0,0.0,3
bourgeois,0.0,1.0,0.0,0.0,3
boyish,0.0,1.0,0.0,0.0,3
bragging,0.0,1.0,0.0,0.0,3
brainless,0.0,1.0,0.0,0.0,3
brainy,0.0,1.0,0.0,0.0,3
brash,0.0,1.0,0.0,0.0,3
brave,0.0,0.0,1.0,0.5267,5
brawling,0.0,1.0,0.0,0.0,3
brawlsome,0.0,1.0,0.0,0.0,3
brazen,0.0,1.0,0.0,0.0,3
breathless,0.0,1.0,0.0,0.0,3
breezy,0.0,1.0,0.0,0.0,3
bright,0.0,0.0,1.0,0.4404,5
bright-eyed,0.0,1.0,0.0,0.0,3
brilliant,0.0,0.0,1.0,0.5859,5
brisk,0.0,0.0,1.0,0.1531,4
bristling,0.0,1.0,0.0,0.0,3
bristly,0.0,1.0,0.0,0.0,3
broad-minded,0.0,1.0,0.0,0.0,3
broad-spoken,0.0,1.0,0.0,0.0,3
broken,1.0,0.0,0.0,-0.4767,1
brooding,0.0,0.0,1.0,0.0258,4
broody,0.0,1.0,0.0,0.0,3
brotherly,0.0,1.0,0.0,0.0,3
browbeating,0.0,1.0,0.0,0.0,3
brusque,0.0,1.0,0.0,0.0,3
brutal,1.0,0.0,0.0,-0.6249,1
brutish,0.0,1.0,0.0,0.0,3
bubbly,0.0,1.0,0.0,0.0,3
buffoonish,0.0,1.0,0.0,0.0,3
bullheaded,0.0,1.0,0.0,0.0,3
bullish,0.0,1.0,0.0,0.0,3
bullying,1.0,0.0,0.0,-0.5994,1
buoyant,0.0,0.0,1.0,0.2263,4
buoying,0.0,1.0,0.0,0.0,3
bureaucratic,0.0,1.0,0.0,0.0,3
burned-out,0.0,1.0,0.0,0.0,3
businesslike,0.0,1.0,0.0,0.0,3
busy,0.0,1.0,0.0,0.0,3
busyish,0.0,1.0,0.0,0.0,3
cagey,0.0,1.0,0.0,0.0,3
cajoling,0.0,1.0,0.0,0.0,3
calculable,0.0,1.0,0.0,0.0,3
calculating,0.0,1.0,0.0,0.0,3
callous,0.0,1.0,0.0,0.0,3
callow,0.0,1.0,0.0,0.0,3
calm,0.0,0.0,1.0,0.3182,4
calming,0.0,0.0,1.0,0.4019,5
candid,0.0,1.0,0.0,0.0,3
canny,0.0,1.0,0.0,0.0,3
cantankerous,0.0,1.0,0.0,0.0,3
capable,0.0,0.0,1.0,0.3818,4
capricious,0.0,1.0,0.0,0.0,3
carefree,0.0,0.0,1.0,0.4019,5
careful,0.0,0.0,1.0,0.1531,4
careless,1.0,0.0,0.0,-0.3612,2
careworn,0.0,1.0,0.0,0.0,3
caring,0.0,0.0,1.0,0.4939,5
casual,0.0,0.0,1.0,0.2023,4
catty,0.0,1.0,0.0,0.0,3
caustic,0.0,1.0,0.0,0.0,3
cautionary,0.0,1.0,0.0,0.0,3
cautious,1.0,0.0,0.0,-0.1027,2
cavalier,0.0,1.0,0.0,0.0,3
censorial,0.0,1.0,0.0,0.0,3
censorious,0.0,1.0,0.0,0.0,3
cerebral,0.0,1.0,0.0,0.0,3
ceremonious,0.0,1.0,0.0,0.0,3
certain,0.0,0.0,1.0,0.2732,4
challenging,0.0,0.0,1.0,0.1531,4
chameleonlike,0.0,1.0,0.0,0.0,3
changeable,0.0,1.0,0.0,0.0,3
changeless,0.0,1.0,0.0,0.0,3
charismatic,0.0,1.0,0.0,0.0,3
charitable,0.0,0.0,1.0,0.4019,5
charming,0.0,0.0,1.0,0.5859,5
chaste,0.0,1.0,0.0,0.0,3
chattering,0.0,1.0,0.0,0.0,3
chatty,0.0,1.0,0.0,0.0,3
chauvinistic,0.0,1.0,0.0,0.0,3
cheap,0.0,1.0,0.0,0.0,3
cheeky,0.0,1.0,0.0,0.0,3
cheerful,0.0,0.0,1.0,0.5423,5
cheerless,1.0,0.0,0.0,-0.4019,1
cheery,0.0,0.0,1.0,0.5574,5
cheesy,0.0,1.0,0.0,0.0,3
cherubic,0.0,1.0,0.0,0.0,3
chic,0.0,0.0,1.0,0.2732,4
childish,1.0,0.0,0.0,-0.296,2
childlike,0.0,1.0,0.0,0.0,3
chipper,0.0,1.0,0.0,0.0,3
chitchatty,0.0,1.0,0.0,0.0,3
chivalrous,0.0,1.0,0.0,0.0,3
choosy,0.0,1.0,0.0,0.0,3
chubby,0.0,1.0,0.0,0.0,3
chummy,0.0,1.0,0.0,0.0,3
churlish,0.0,1.0,0.0,0.0,3
circumspect,0.0,1.0,0.0,0.0,3
civil,0.0,1.0,0.0,0.0,3
civilized,0.0,1.0,0.0,0.0,3
clairvoyant,0.0,1.0,0.0,0.0,3
clandestine,0.0,1.0,0.0,0.0,3
clannish,0.0,1.0,0.0,0.0,3
classy,0.0,0.0,1.0,0.4404,5
clean,0.0,0.0,1.0,0.4019,5
clear-cut,0.0,1.0,0.0,0.0,3
