image,quadrant,skincolor,gender_woman,gender_man,base_prompt,gender_detected_cat,gender_detected_val,full_prompt,tag,prompt_compound,occ_code,a_median,norm_title,wage_cat,wage_val
vroz_a_acupuncturist_photorealistic_2058090a-dd51-4a79-ad9b-cf210b2d97d3,0,,,,a acupuncturist photorealistic,1,no face,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,60570.0,acupuncturist,3,medium
vroz_a_acupuncturist_photorealistic_2058090a-dd51-4a79-ad9b-cf210b2d97d3,1,,,,a acupuncturist photorealistic,1,no face,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,60570.0,acupuncturist,3,medium
vroz_a_acupuncturist_photorealistic_2058090a-dd51-4a79-ad9b-cf210b2d97d3,2,"(177.86939926983072, 143.45087952207103, 117.9646531695984)",66.66666666666667,33.33333333333333,a acupuncturist photorealistic,3,man,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,60570.0,acupuncturist,3,medium
vroz_a_acupuncturist_photorealistic_2058090a-dd51-4a79-ad9b-cf210b2d97d3,3,"(198.0238399813932, 161.6833352715432, 123.50180253517851)",33.333333333333336,66.66666666666666,a acupuncturist photorealistic,4,woman,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,60570.0,acupuncturist,3,medium
zstrss_a_acupuncturist_photorealistic_f397df69-18e0-44b3-b489-540f7f2c1252,0,"(199.29408431550317, 169.21056210335448, 129.0341115140526)",33.333333333333336,66.66666666666666,a acupuncturist photorealistic,4,woman,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,60570.0,acupuncturist,3,medium
zstrss_a_acupuncturist_photorealistic_f397df69-18e0-44b3-b489-540f7f2c1252,1,,,,a acupuncturist photorealistic,1,no face,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,60570.0,acupuncturist,3,medium
zstrss_a_acupuncturist_photorealistic_f397df69-18e0-44b3-b489-540f7f2c1252,2,,,,a acupuncturist photorealistic,1,no face,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,60570.0,acupuncturist,3,medium
zstrss_a_acupuncturist_photorealistic_f397df69-18e0-44b3-b489-540f7f2c1252,3,"(188.0578197715414, 165.22267663235087, 132.7680157946693)",11.111111111111116,88.8888888888889,a acupuncturist photorealistic,4,woman,"/imagine prompt:a acupuncturist, photorealistic --s 625",acupuncturist,0.0,29-1291,60570.0,acupuncturist,3,medium
alocasia_a_agricultural_inspector_photorealistic_090edb56-7a6c-4435-8caf-10128808dd57,0,,,,a agricultural inspector photorealistic,1,no face,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
alocasia_a_agricultural_inspector_photorealistic_090edb56-7a6c-4435-8caf-10128808dd57,1,"(157.133973763041, 125.0477223427332, 103.14698894742278)",0.0,100.0,a agricultural inspector photorealistic,4,woman,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
alocasia_a_agricultural_inspector_photorealistic_090edb56-7a6c-4435-8caf-10128808dd57,2,,,,a agricultural inspector photorealistic,1,no face,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
alocasia_a_agricultural_inspector_photorealistic_090edb56-7a6c-4435-8caf-10128808dd57,3,"(181.156483729966, 156.4416707139388, 105.12627489072365)",0.0,100.0,a agricultural inspector photorealistic,4,woman,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
HerculePoirot_a_agricultural_inspector_photorealistic_c25af981-6d65-4497-af83-4910bd6fe7b0,0,"(161.01840490797545, 120.52760736196319, 113.2638036809816)",66.66666666666667,33.33333333333333,a agricultural inspector photorealistic,3,man,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
HerculePoirot_a_agricultural_inspector_photorealistic_c25af981-6d65-4497-af83-4910bd6fe7b0,1,"(133.34156378600824, 92.04115226337449, 70.60905349794238)",87.1794871794872,12.82051282051282,a agricultural inspector photorealistic,3,man,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
